"","Entity","Code","Day","school_closures"
"80","Mexico","MEX","2020-04-09",3
"81","Mexico","MEX","2020-04-10",3
"82","Mexico","MEX","2020-04-11",3
"83","Mexico","MEX","2020-04-12",3
"84","Mexico","MEX","2020-04-13",3
"85","Mexico","MEX","2020-04-14",3
"86","Mexico","MEX","2020-04-15",3
"87","Mexico","MEX","2020-04-16",3
"88","Mexico","MEX","2020-04-17",3
"89","Mexico","MEX","2020-04-18",3
"90","Mexico","MEX","2020-04-19",3
"91","Mexico","MEX","2020-04-20",3
"92","Mexico","MEX","2020-04-21",3
"93","Mexico","MEX","2020-04-22",3
"94","Mexico","MEX","2020-04-23",3
"95","Mexico","MEX","2020-04-24",3
"96","Mexico","MEX","2020-04-25",3
"97","Mexico","MEX","2020-04-26",3
"98","Mexico","MEX","2020-04-27",3
"99","Mexico","MEX","2020-04-28",3
"100","Mexico","MEX","2020-04-29",3
"101","Mexico","MEX","2020-04-30",3
"102","Mexico","MEX","2020-05-01",3
"103","Mexico","MEX","2020-05-02",3
"104","Mexico","MEX","2020-05-03",3
"105","Mexico","MEX","2020-05-04",3
"106","Mexico","MEX","2020-05-05",3
"107","Mexico","MEX","2020-05-06",3
"108","Mexico","MEX","2020-05-07",3
"109","Mexico","MEX","2020-05-08",3
"110","Mexico","MEX","2020-05-09",3
"111","Mexico","MEX","2020-05-10",3
"112","Mexico","MEX","2020-05-11",3
"113","Mexico","MEX","2020-05-12",3
"114","Mexico","MEX","2020-05-13",3
"115","Mexico","MEX","2020-05-14",3
"116","Mexico","MEX","2020-05-15",3
"117","Mexico","MEX","2020-05-16",3
"118","Mexico","MEX","2020-05-17",3
"119","Mexico","MEX","2020-05-18",3
"120","Mexico","MEX","2020-05-19",3
"121","Mexico","MEX","2020-05-20",3
"122","Mexico","MEX","2020-05-21",3
"123","Mexico","MEX","2020-05-22",3
"124","Mexico","MEX","2020-05-23",3
"125","Mexico","MEX","2020-05-24",3
"126","Mexico","MEX","2020-05-25",3
"127","Mexico","MEX","2020-05-26",3
"128","Mexico","MEX","2020-05-27",3
"129","Mexico","MEX","2020-05-28",3
"130","Mexico","MEX","2020-05-29",3
"131","Mexico","MEX","2020-05-30",3
"132","Mexico","MEX","2020-05-31",3
"133","Mexico","MEX","2020-06-01",3
"134","Mexico","MEX","2020-06-02",3
"135","Mexico","MEX","2020-06-03",3
"136","Mexico","MEX","2020-06-04",3
"137","Mexico","MEX","2020-06-05",3
"138","Mexico","MEX","2020-06-06",3
"139","Mexico","MEX","2020-06-07",3
"140","Mexico","MEX","2020-06-08",3
"141","Mexico","MEX","2020-06-09",3
"142","Mexico","MEX","2020-06-10",3
"143","Mexico","MEX","2020-06-11",3
"144","Mexico","MEX","2020-06-12",3
"145","Mexico","MEX","2020-06-13",3
"146","Mexico","MEX","2020-06-14",3
"147","Mexico","MEX","2020-06-15",3
"148","Mexico","MEX","2020-06-16",3
"149","Mexico","MEX","2020-06-17",3
"150","Mexico","MEX","2020-06-18",3
"151","Mexico","MEX","2020-06-19",3
"152","Mexico","MEX","2020-06-20",3
"153","Mexico","MEX","2020-06-21",3
"154","Mexico","MEX","2020-06-22",3
"155","Mexico","MEX","2020-06-23",3
"156","Mexico","MEX","2020-06-24",3
"157","Mexico","MEX","2020-06-25",3
"158","Mexico","MEX","2020-06-26",3
"159","Mexico","MEX","2020-06-27",3
"160","Mexico","MEX","2020-06-28",3
"161","Mexico","MEX","2020-06-29",3
"162","Mexico","MEX","2020-06-30",3
"163","Mexico","MEX","2020-07-01",3
"164","Mexico","MEX","2020-07-02",3
"165","Mexico","MEX","2020-07-03",3
"166","Mexico","MEX","2020-07-04",3
"167","Mexico","MEX","2020-07-05",3
"168","Mexico","MEX","2020-07-06",3
"169","Mexico","MEX","2020-07-07",3
"170","Mexico","MEX","2020-07-08",3
"171","Mexico","MEX","2020-07-09",3
"172","Mexico","MEX","2020-07-10",3
"173","Mexico","MEX","2020-07-11",3
"174","Mexico","MEX","2020-07-12",3
"175","Mexico","MEX","2020-07-13",3
"176","Mexico","MEX","2020-07-14",3
"177","Mexico","MEX","2020-07-15",3
"178","Mexico","MEX","2020-07-16",3
"179","Mexico","MEX","2020-07-17",3
"180","Mexico","MEX","2020-07-18",3
"181","Mexico","MEX","2020-07-19",3
"182","Mexico","MEX","2020-07-20",3
"183","Mexico","MEX","2020-07-21",3
"184","Mexico","MEX","2020-07-22",3
"185","Mexico","MEX","2020-07-23",3
"186","Mexico","MEX","2020-07-24",3
"187","Mexico","MEX","2020-07-25",3
"188","Mexico","MEX","2020-07-26",3
"189","Mexico","MEX","2020-07-27",3
"190","Mexico","MEX","2020-07-28",3
"191","Mexico","MEX","2020-07-29",3
"192","Mexico","MEX","2020-07-30",3
"193","Mexico","MEX","2020-07-31",3
"194","Mexico","MEX","2020-08-01",3
"195","Mexico","MEX","2020-08-02",3
"196","Mexico","MEX","2020-08-03",3
"197","Mexico","MEX","2020-08-04",3
"198","Mexico","MEX","2020-08-05",3
"199","Mexico","MEX","2020-08-06",3
"200","Mexico","MEX","2020-08-07",3
"201","Mexico","MEX","2020-08-08",3
"202","Mexico","MEX","2020-08-09",3
"203","Mexico","MEX","2020-08-10",3
"204","Mexico","MEX","2020-08-11",3
"205","Mexico","MEX","2020-08-12",3
"206","Mexico","MEX","2020-08-13",3
"207","Mexico","MEX","2020-08-14",3
"208","Mexico","MEX","2020-08-15",3
"209","Mexico","MEX","2020-08-16",3
"210","Mexico","MEX","2020-08-17",3
"211","Mexico","MEX","2020-08-18",3
"212","Mexico","MEX","2020-08-19",3
"213","Mexico","MEX","2020-08-20",3
"214","Mexico","MEX","2020-08-21",3
"215","Mexico","MEX","2020-08-22",3
"216","Mexico","MEX","2020-08-23",3
"217","Mexico","MEX","2020-08-24",3
"218","Mexico","MEX","2020-08-25",3
"219","Mexico","MEX","2020-08-26",3
"220","Mexico","MEX","2020-08-27",3
"221","Mexico","MEX","2020-08-28",3
"222","Mexico","MEX","2020-08-29",3
"223","Mexico","MEX","2020-08-30",3
"224","Mexico","MEX","2020-08-31",3
"225","Mexico","MEX","2020-09-01",3
"226","Mexico","MEX","2020-09-02",3
"227","Mexico","MEX","2020-09-03",3
"228","Mexico","MEX","2020-09-04",3
"229","Mexico","MEX","2020-09-05",3
"230","Mexico","MEX","2020-09-06",3
"231","Mexico","MEX","2020-09-07",3
"232","Mexico","MEX","2020-09-08",3
"233","Mexico","MEX","2020-09-09",3
"234","Mexico","MEX","2020-09-10",3
"235","Mexico","MEX","2020-09-11",3
"236","Mexico","MEX","2020-09-12",3
"237","Mexico","MEX","2020-09-13",3
"238","Mexico","MEX","2020-09-14",3
"239","Mexico","MEX","2020-09-15",3
"240","Mexico","MEX","2020-09-16",3
"241","Mexico","MEX","2020-09-17",3
"242","Mexico","MEX","2020-09-18",3
"243","Mexico","MEX","2020-09-19",3
"244","Mexico","MEX","2020-09-20",3
"245","Mexico","MEX","2020-09-21",3
"246","Mexico","MEX","2020-09-22",3
"247","Mexico","MEX","2020-09-23",3
"248","Mexico","MEX","2020-09-24",3
"249","Mexico","MEX","2020-09-25",3
"250","Mexico","MEX","2020-09-26",3
"251","Mexico","MEX","2020-09-27",3
"252","Mexico","MEX","2020-09-28",3
"253","Mexico","MEX","2020-09-29",3
"254","Mexico","MEX","2020-09-30",3
"255","Mexico","MEX","2020-10-01",3
"256","Mexico","MEX","2020-10-02",3
"257","Mexico","MEX","2020-10-03",3
"258","Mexico","MEX","2020-10-04",3
"259","Mexico","MEX","2020-10-05",3
"260","Mexico","MEX","2020-10-06",3
"261","Mexico","MEX","2020-10-07",3
"262","Mexico","MEX","2020-10-08",3
"263","Mexico","MEX","2020-10-09",3
"264","Mexico","MEX","2020-10-10",3
"265","Mexico","MEX","2020-10-11",3
"266","Mexico","MEX","2020-10-12",3
"267","Mexico","MEX","2020-10-13",3
"268","Mexico","MEX","2020-10-14",3
"269","Mexico","MEX","2020-10-15",3
"270","Mexico","MEX","2020-10-16",3
"271","Mexico","MEX","2020-10-17",3
"272","Mexico","MEX","2020-10-18",3
"273","Mexico","MEX","2020-10-19",3
"274","Mexico","MEX","2020-10-20",3
"275","Mexico","MEX","2020-10-21",3
"276","Mexico","MEX","2020-10-22",3
"277","Mexico","MEX","2020-10-23",3
"278","Mexico","MEX","2020-10-24",3
"279","Mexico","MEX","2020-10-25",3
"280","Mexico","MEX","2020-10-26",3
"281","Mexico","MEX","2020-10-27",3
"282","Mexico","MEX","2020-10-28",3
"283","Mexico","MEX","2020-10-29",3
"284","Mexico","MEX","2020-10-30",3
"285","Mexico","MEX","2020-10-31",3
"286","Mexico","MEX","2020-11-01",3
"287","Mexico","MEX","2020-11-02",3
"288","Mexico","MEX","2020-11-03",3
"289","Mexico","MEX","2020-11-04",3
"290","Mexico","MEX","2020-11-05",3
"291","Mexico","MEX","2020-11-06",3
"292","Mexico","MEX","2020-11-07",3
"293","Mexico","MEX","2020-11-08",3
"294","Mexico","MEX","2020-11-09",3
"295","Mexico","MEX","2020-11-10",3
"296","Mexico","MEX","2020-11-11",3
"297","Mexico","MEX","2020-11-12",3
"298","Mexico","MEX","2020-11-13",3
"299","Mexico","MEX","2020-11-14",3
"300","Mexico","MEX","2020-11-15",3
"301","Mexico","MEX","2020-11-16",3
"302","Mexico","MEX","2020-11-17",3
"303","Mexico","MEX","2020-11-18",3
"304","Mexico","MEX","2020-11-19",3
"305","Mexico","MEX","2020-11-20",3
"306","Mexico","MEX","2020-11-21",3
"307","Mexico","MEX","2020-11-22",3
"308","Mexico","MEX","2020-11-23",3
"309","Mexico","MEX","2020-11-24",3
"310","Mexico","MEX","2020-11-25",3
"311","Mexico","MEX","2020-11-26",3
"312","Mexico","MEX","2020-11-27",3
"313","Mexico","MEX","2020-11-28",3
"314","Mexico","MEX","2020-11-29",3
"315","Mexico","MEX","2020-11-30",3
"316","Mexico","MEX","2020-12-01",3
"317","Mexico","MEX","2020-12-02",3
"318","Mexico","MEX","2020-12-03",3
"319","Mexico","MEX","2020-12-04",3
"320","Mexico","MEX","2020-12-05",3
"321","Mexico","MEX","2020-12-06",3
"322","Mexico","MEX","2020-12-07",3
"323","Mexico","MEX","2020-12-08",3
"324","Mexico","MEX","2020-12-09",3
"325","Mexico","MEX","2020-12-10",3
"326","Mexico","MEX","2020-12-11",3
"327","Mexico","MEX","2020-12-12",3
"328","Mexico","MEX","2020-12-13",3
"329","Mexico","MEX","2020-12-14",3
"330","Mexico","MEX","2020-12-15",3
"331","Mexico","MEX","2020-12-16",3
"332","Mexico","MEX","2020-12-17",3
"333","Mexico","MEX","2020-12-18",3
"334","Mexico","MEX","2020-12-19",3
"335","Mexico","MEX","2020-12-20",3
"336","Mexico","MEX","2020-12-21",3
"337","Mexico","MEX","2020-12-22",3
"338","Mexico","MEX","2020-12-23",3
"339","Mexico","MEX","2020-12-24",3
"340","Mexico","MEX","2020-12-25",3
"341","Mexico","MEX","2020-12-26",3
"342","Mexico","MEX","2020-12-27",3
"343","Mexico","MEX","2020-12-28",3
"344","Mexico","MEX","2020-12-29",3
"345","Mexico","MEX","2020-12-30",3
"346","Mexico","MEX","2020-12-31",3
"347","Mexico","MEX","2021-01-01",3
"348","Mexico","MEX","2021-01-02",3
"349","Mexico","MEX","2021-01-03",3
"350","Mexico","MEX","2021-01-04",3
"351","Mexico","MEX","2021-01-05",3
"352","Mexico","MEX","2021-01-06",3
"353","Mexico","MEX","2021-01-07",3
"354","Mexico","MEX","2021-01-08",3
"355","Mexico","MEX","2021-01-09",3
"356","Mexico","MEX","2021-01-10",3
"357","Mexico","MEX","2021-01-11",3
"358","Mexico","MEX","2021-01-12",3
"359","Mexico","MEX","2021-01-13",3
"360","Mexico","MEX","2021-01-14",3
"361","Mexico","MEX","2021-01-15",3
"362","Mexico","MEX","2021-01-16",3
"363","Mexico","MEX","2021-01-17",3
"364","Mexico","MEX","2021-01-18",3
"365","Mexico","MEX","2021-01-19",3
"366","Mexico","MEX","2021-01-20",3
"367","Mexico","MEX","2021-01-21",3
"368","Mexico","MEX","2021-01-22",3
"369","Mexico","MEX","2021-01-23",3
"370","Mexico","MEX","2021-01-24",3
"371","Mexico","MEX","2021-01-25",3
"372","Mexico","MEX","2021-01-26",3
"373","Mexico","MEX","2021-01-27",3
"374","Mexico","MEX","2021-01-28",3
"375","Mexico","MEX","2021-01-29",3
"376","Mexico","MEX","2021-01-30",3
"377","Mexico","MEX","2021-01-31",3
"378","Mexico","MEX","2021-02-01",3
"379","Mexico","MEX","2021-02-02",3
"380","Mexico","MEX","2021-02-03",3
"381","Mexico","MEX","2021-02-04",3
"382","Mexico","MEX","2021-02-05",3
"383","Mexico","MEX","2021-02-06",3
"384","Mexico","MEX","2021-02-07",3
"385","Mexico","MEX","2021-02-08",3
"386","Mexico","MEX","2021-02-09",3
"387","Mexico","MEX","2021-02-10",3
"388","Mexico","MEX","2021-02-11",3
"389","Mexico","MEX","2021-02-12",3
"390","Mexico","MEX","2021-02-13",3
"391","Mexico","MEX","2021-02-14",3
"392","Mexico","MEX","2021-02-15",3
"393","Mexico","MEX","2021-02-16",3
"394","Mexico","MEX","2021-02-17",3
"395","Mexico","MEX","2021-02-18",3
"396","Mexico","MEX","2021-02-19",3
"397","Mexico","MEX","2021-02-20",3
"398","Mexico","MEX","2021-02-21",3
"399","Mexico","MEX","2021-02-22",3
"400","Mexico","MEX","2021-02-23",3
"401","Mexico","MEX","2021-02-24",3
"402","Mexico","MEX","2021-02-25",3
"403","Mexico","MEX","2021-02-26",3
"404","Mexico","MEX","2021-02-27",3
"405","Mexico","MEX","2021-02-28",3
"406","Mexico","MEX","2021-03-01",3
"407","Mexico","MEX","2021-03-02",3
"408","Mexico","MEX","2021-03-03",3
"409","Mexico","MEX","2021-03-04",3
"410","Mexico","MEX","2021-03-05",3
"411","Mexico","MEX","2021-03-06",3
"412","Mexico","MEX","2021-03-07",3
"413","Mexico","MEX","2021-03-08",3
"414","Mexico","MEX","2021-03-09",3
"415","Mexico","MEX","2021-03-10",3
"416","Mexico","MEX","2021-03-11",3
"417","Mexico","MEX","2021-03-12",3
"418","Mexico","MEX","2021-03-13",3
"419","Mexico","MEX","2021-03-14",3
"420","Mexico","MEX","2021-03-15",3
"421","Mexico","MEX","2021-03-16",3
"422","Mexico","MEX","2021-03-17",3
"423","Mexico","MEX","2021-03-18",3
"424","Mexico","MEX","2021-03-19",3
"425","Mexico","MEX","2021-03-20",3
"426","Mexico","MEX","2021-03-21",3
"427","Mexico","MEX","2021-03-22",3
"428","Mexico","MEX","2021-03-23",3
"429","Mexico","MEX","2021-03-24",3
"430","Mexico","MEX","2021-03-25",3
"431","Mexico","MEX","2021-03-26",3
"432","Mexico","MEX","2021-03-27",3
"433","Mexico","MEX","2021-03-28",3
"434","Mexico","MEX","2021-03-29",3
"435","Mexico","MEX","2021-03-30",3
"436","Mexico","MEX","2021-03-31",3
"437","Mexico","MEX","2021-04-01",3
"438","Mexico","MEX","2021-04-02",3
"439","Mexico","MEX","2021-04-03",3
"440","Mexico","MEX","2021-04-04",3
"441","Mexico","MEX","2021-04-05",3
"442","Mexico","MEX","2021-04-06",3
"443","Mexico","MEX","2021-04-07",3
"444","Mexico","MEX","2021-04-08",3
"445","Mexico","MEX","2021-04-09",3
"446","Mexico","MEX","2021-04-10",3
"447","Mexico","MEX","2021-04-11",3
"448","Mexico","MEX","2021-04-12",3
"449","Mexico","MEX","2021-04-13",3
"450","Mexico","MEX","2021-04-14",3
"451","Mexico","MEX","2021-04-15",3
"452","Mexico","MEX","2021-04-16",3
"453","Mexico","MEX","2021-04-17",3
"454","Mexico","MEX","2021-04-18",3
"455","Mexico","MEX","2021-04-19",3
"456","Mexico","MEX","2021-04-20",3
"457","Mexico","MEX","2021-04-21",3
"458","Mexico","MEX","2021-04-22",3
"459","Mexico","MEX","2021-04-23",3
"460","Mexico","MEX","2021-04-24",3
"461","Mexico","MEX","2021-04-25",3
"462","Mexico","MEX","2021-04-26",3
"463","Mexico","MEX","2021-04-27",3
"464","Mexico","MEX","2021-04-28",3
"465","Mexico","MEX","2021-04-29",3
"466","Mexico","MEX","2021-04-30",3
"467","Mexico","MEX","2021-05-01",3
"468","Mexico","MEX","2021-05-02",3
"469","Mexico","MEX","2021-05-03",3
"470","Mexico","MEX","2021-05-04",3
"471","Mexico","MEX","2021-05-05",3
"472","Mexico","MEX","2021-05-06",3
"473","Mexico","MEX","2021-05-07",3
"474","Mexico","MEX","2021-05-08",3
"475","Mexico","MEX","2021-05-09",3
"476","Mexico","MEX","2021-05-10",3
"477","Mexico","MEX","2021-05-11",3
"478","Mexico","MEX","2021-05-12",3
"479","Mexico","MEX","2021-05-13",3
"480","Mexico","MEX","2021-05-14",3
"481","Mexico","MEX","2021-05-15",3
"482","Mexico","MEX","2021-05-16",3
"483","Mexico","MEX","2021-05-17",3
"484","Mexico","MEX","2021-05-18",3
"485","Mexico","MEX","2021-05-19",3
"486","Mexico","MEX","2021-05-20",3
"487","Mexico","MEX","2021-05-21",3
"488","Mexico","MEX","2021-05-22",3
"489","Mexico","MEX","2021-05-23",3
"490","Mexico","MEX","2021-05-24",3
"491","Mexico","MEX","2021-05-25",3
"492","Mexico","MEX","2021-05-26",3
"493","Mexico","MEX","2021-05-27",3
"494","Mexico","MEX","2021-05-28",3
"495","Mexico","MEX","2021-05-29",3
"496","Mexico","MEX","2021-05-30",3
"497","Mexico","MEX","2021-05-31",3
"498","Mexico","MEX","2021-06-01",3
"499","Mexico","MEX","2021-06-02",3
"500","Mexico","MEX","2021-06-03",3
"501","Mexico","MEX","2021-06-04",3
"502","Mexico","MEX","2021-06-05",3
"503","Mexico","MEX","2021-06-06",3
"504","Mexico","MEX","2021-06-07",3
"505","Mexico","MEX","2021-06-08",3
"506","Mexico","MEX","2021-06-09",3
"507","Mexico","MEX","2021-06-10",3
"508","Mexico","MEX","2021-06-11",3
"509","Mexico","MEX","2021-06-12",3
"510","Mexico","MEX","2021-06-13",3
"511","Mexico","MEX","2021-06-14",3
"512","Mexico","MEX","2021-06-15",3
"513","Mexico","MEX","2021-06-16",3
"514","Mexico","MEX","2021-06-17",3
"515","Mexico","MEX","2021-06-18",3
"516","Mexico","MEX","2021-06-19",3
"517","Mexico","MEX","2021-06-20",3
"518","Mexico","MEX","2021-06-21",3
"519","Mexico","MEX","2021-06-22",3
"520","Mexico","MEX","2021-06-23",3
"521","Mexico","MEX","2021-06-24",3
"522","Mexico","MEX","2021-06-25",3
"523","Mexico","MEX","2021-06-26",3
"524","Mexico","MEX","2021-06-27",3
"525","Mexico","MEX","2021-06-28",3
"526","Mexico","MEX","2021-06-29",3
"527","Mexico","MEX","2021-06-30",3
"528","Mexico","MEX","2021-07-01",3
"529","Mexico","MEX","2021-07-02",3
"530","Mexico","MEX","2021-07-03",3
"531","Mexico","MEX","2021-07-04",3
"532","Mexico","MEX","2021-07-05",3
"533","Mexico","MEX","2021-07-06",3
"534","Mexico","MEX","2021-07-07",3
"535","Mexico","MEX","2021-07-08",3
"536","Mexico","MEX","2021-07-09",3
"537","Mexico","MEX","2021-07-10",3
"538","Mexico","MEX","2021-07-11",3
"539","Mexico","MEX","2021-07-12",3
"540","Mexico","MEX","2021-07-13",3
"541","Mexico","MEX","2021-07-14",3
"542","Mexico","MEX","2021-07-15",3
"543","Mexico","MEX","2021-07-16",3
"544","Mexico","MEX","2021-07-17",3
"545","Mexico","MEX","2021-07-18",3
"546","Mexico","MEX","2021-07-19",3
"547","Mexico","MEX","2021-07-20",3
"548","Mexico","MEX","2021-07-21",3
"549","Mexico","MEX","2021-07-22",3
"550","Mexico","MEX","2021-07-23",3
"551","Mexico","MEX","2021-07-24",3
"552","Mexico","MEX","2021-07-25",3
"553","Mexico","MEX","2021-07-26",3
"554","Mexico","MEX","2021-07-27",3
"555","Mexico","MEX","2021-07-28",3
"556","Mexico","MEX","2021-07-29",3
"557","Mexico","MEX","2021-07-30",3
"558","Mexico","MEX","2021-07-31",3
"559","Mexico","MEX","2021-08-01",3
"560","Mexico","MEX","2021-08-02",3
"561","Mexico","MEX","2021-08-03",3
"562","Mexico","MEX","2021-08-04",3
"563","Mexico","MEX","2021-08-05",3
"564","Mexico","MEX","2021-08-06",3
"565","Mexico","MEX","2021-08-07",3
"566","Mexico","MEX","2021-08-08",3
"567","Mexico","MEX","2021-08-09",3
"568","Mexico","MEX","2021-08-10",3
"569","Mexico","MEX","2021-08-11",3
"570","Mexico","MEX","2021-08-12",3
"571","Mexico","MEX","2021-08-13",3
"572","Mexico","MEX","2021-08-14",3
"573","Mexico","MEX","2021-08-15",3
"574","Mexico","MEX","2021-08-16",3
"575","Mexico","MEX","2021-08-17",3
"576","Mexico","MEX","2021-08-18",3
"577","Mexico","MEX","2021-08-19",3
"578","Mexico","MEX","2021-08-20",3
"579","Mexico","MEX","2021-08-21",3
"580","Mexico","MEX","2021-08-22",3
"581","Mexico","MEX","2021-08-23",3
"582","Mexico","MEX","2021-08-24",3
"583","Mexico","MEX","2021-08-25",3
"584","Mexico","MEX","2021-08-26",3
"585","Mexico","MEX","2021-08-27",3
"586","Mexico","MEX","2021-08-28",3
"587","Mexico","MEX","2021-08-29",3
"588","Mexico","MEX","2021-08-30",1
"589","Mexico","MEX","2021-08-31",1
"590","Mexico","MEX","2021-09-01",1
"591","Mexico","MEX","2021-09-02",1
"592","Mexico","MEX","2021-09-03",1
"593","Mexico","MEX","2021-09-04",1
"594","Mexico","MEX","2021-09-05",1
"595","Mexico","MEX","2021-09-06",1
"596","Mexico","MEX","2021-09-07",1
"597","Mexico","MEX","2021-09-08",1
"598","Mexico","MEX","2021-09-09",1
"599","Mexico","MEX","2021-09-10",1
"600","Mexico","MEX","2021-09-11",1
"601","Mexico","MEX","2021-09-12",1
"602","Mexico","MEX","2021-09-13",1
"603","Mexico","MEX","2021-09-14",1
"604","Mexico","MEX","2021-09-15",1
"605","Mexico","MEX","2021-09-16",1
"606","Mexico","MEX","2021-09-17",1
"607","Mexico","MEX","2021-09-18",1
"608","Mexico","MEX","2021-09-19",1
"609","Mexico","MEX","2021-09-20",1
"610","Mexico","MEX","2021-09-21",1
"611","Mexico","MEX","2021-09-22",1
"612","Mexico","MEX","2021-09-23",1
"613","Mexico","MEX","2021-09-24",1
"614","Mexico","MEX","2021-09-25",1
"615","Mexico","MEX","2021-09-26",1
"616","Mexico","MEX","2021-09-27",1
"617","Mexico","MEX","2021-09-28",1
"618","Mexico","MEX","2021-09-29",1
"619","Mexico","MEX","2021-09-30",1
"620","Mexico","MEX","2021-10-01",1
"621","Mexico","MEX","2021-10-02",1
"622","Mexico","MEX","2021-10-03",1
"623","Mexico","MEX","2021-10-04",1
"624","Mexico","MEX","2021-10-05",1
"625","Mexico","MEX","2021-10-06",1
"626","Mexico","MEX","2021-10-07",1
"627","Mexico","MEX","2021-10-08",1
"628","Mexico","MEX","2021-10-09",1
"629","Mexico","MEX","2021-10-10",1
"630","Mexico","MEX","2021-10-11",1
"631","Mexico","MEX","2021-10-12",1
"632","Mexico","MEX","2021-10-13",1
"633","Mexico","MEX","2021-10-14",1
"634","Mexico","MEX","2021-10-15",1
"635","Mexico","MEX","2021-10-16",1
"636","Mexico","MEX","2021-10-17",1
"637","Mexico","MEX","2021-10-18",1
"638","Mexico","MEX","2021-10-19",1
"639","Mexico","MEX","2021-10-20",1
"640","Mexico","MEX","2021-10-21",1
"641","Mexico","MEX","2021-10-22",1
"642","Mexico","MEX","2021-10-23",1
"643","Mexico","MEX","2021-10-24",1
"644","Mexico","MEX","2021-10-25",1
"645","Mexico","MEX","2021-10-26",1
"646","Mexico","MEX","2021-10-27",1
"647","Mexico","MEX","2021-10-28",1
"648","Mexico","MEX","2021-10-29",1
"649","Mexico","MEX","2021-10-30",1
"650","Mexico","MEX","2021-10-31",1
"651","Mexico","MEX","2021-11-01",1
"652","Mexico","MEX","2021-11-02",1
"653","Mexico","MEX","2021-11-03",1
"654","Mexico","MEX","2021-11-04",1
"655","Mexico","MEX","2021-11-05",1
"656","Mexico","MEX","2021-11-06",1
"657","Mexico","MEX","2021-11-07",1
"658","Mexico","MEX","2021-11-08",1
"659","Mexico","MEX","2021-11-09",1
"660","Mexico","MEX","2021-11-10",1
"661","Mexico","MEX","2021-11-11",1
"662","Mexico","MEX","2021-11-12",1
"663","Mexico","MEX","2021-11-13",1
"664","Mexico","MEX","2021-11-14",1
